BJD,Flux,Flux_unc
1711.5529584427125,151326.14,44.57746
1711.5543473333246,151241.42,44.5256
1711.5557362239374,151376.38,44.570667
1711.5571251145502,151331.14,44.540627
1711.5585140051624,151357.72,44.56338
1711.5599028957747,151382.39,44.545322
1711.5612917863882,151451.3,44.55975
1711.5626806770017,151354.0,44.562675
1711.5640695676138,151255.81,44.531357
1711.565458458226,151310.2,44.556877
1711.566847348839,151331.72,44.5571
1711.568236239219,151400.4,44.57765
1711.5696251298311,151332.16,44.553394
1711.5710140204435,151240.69,44.53296
1711.572402911057,151362.16,44.549812
1711.5737918014377,151342.31,44.561638
1711.5751806920498,151285.84,44.548496
1711.576569582662,151280.47,44.547577
1711.577958473275,151286.38,44.5656
1711.579347363655,151311.47,44.558952
1711.580736254267,151325.64,44.55872
1711.5821251446464,151397.23,44.561367
1711.5835140352594,151286.11,44.54571
1711.58490292564,151389.48,44.558254
1711.586291816253,151364.22,44.57109
1711.5876807066322,151289.84,44.56648
1711.589069597245,151352.02,44.56849
1711.5904584876253,151339.42,44.566387
1711.5918473782374,151223.5,44.54433
1711.5932362686167,151341.83,44.535576
1711.594625158997,151377.92,44.5791
1711.5960140496097,151388.9,44.564564
1711.5974029399897,151321.22,44.570534
1711.5987918303697,151332.36,44.568806
1711.6001807209825,151369.97,44.546104
1711.6015696113627,151380.1,44.560833
1711.602958501742,151378.34,44.570778
1711.6043473921213,151361.78,44.55808
1711.6057362825013,151338.02,44.56086
1711.6071251731144,151370.16,44.5744
1711.6085140634937,151346.11,44.557713
1711.6099029538736,151393.8,44.570004
1711.6112918442543,151470.73,44.583187
1711.6126807346343,151363.16,44.550667
1711.6140696250138,151383.03,44.569504
1711.6154585153931,151423.19,44.559
1711.6168474057731,151334.36,44.53285
1711.618236296153,151359.03,44.560112
1711.6196251865324,151514.5,44.55298
1711.6210140766798,151386.2,44.562836
1711.6224029670605,151337.22,44.554573
1711.6237918574404,151432.52,44.555794
1711.62518074782,151355.1,44.549755
