# Times (BJD) 	 Diff. Mag. 	 Diff. Mag. Err.
2459628.545206418	-0.0007682377568224484	0.004101664298333211
2459628.5459818863	0.003537636954184902	0.004119355671853604
2459628.546745781	0.001689198090118861	0.004159887204342167
2459628.547521249	-0.0012166581782446933	0.004167142543564466
2459628.5482967175	-0.0019790796355243718	0.004212244824090818
2459628.549060612	-0.005129545402880482	0.004248788374645562
2459628.5498360805	0.0029843321691319456	0.00428518666200115
2459628.5506115486	-0.006202427669020706	0.0042913172883106135
2459628.551375443	0.00875529485207071	0.004389737411341125
2459628.5521509117	0.0011686776786030304	0.00435565034207988
2459628.5529148057	-0.0034615348884007545	0.00437885909839089
2459628.5536902742	-0.002793230504498628	0.004406107752638168
2459628.554465743	-0.007991538769270732	0.004466483680093345
2459628.555229637	-0.00637730002607536	0.00443488249213435
2459628.5560051054	-0.012726763893071046	0.004486665123089867
2459628.556780574	-0.006647466416716697	0.004537797092392103
2459628.5575560424	0.005349709048435602	0.004502564962899284
2459628.5583199365	0.0006025505797778482	0.004494036491816447
2459628.559095405	-0.008888472028493903	0.004506397205096022
2459628.5598708736	-0.003642433215871232	0.004466808221231375
2459628.5606463416	-0.00840082538823927	0.00456803988749412
2459628.56142181	0.0006805577380424911	0.004551892237927106
2459628.5621857047	0.001959884877180055	0.004569324520669544
2459628.5629495988	-0.00425913918394592	0.004602469768888758
2459628.5637250673	-0.00036234460477113824	0.0046627327097333825
2459628.5645005354	-0.014118221936395186	0.004676964948517813
2459628.56526443	-0.0033093477622416546	0.004584796409124457
2459628.5660398984	-0.0014186350702486783	0.004767587767689996
2459628.5668037925	0.0016161476400031868	0.00481032847200136
2459628.567579261	0.011281974629013227	0.004847399297306946
2459628.568354729	-0.004889774517445309	0.0047933455662552815
2459628.5691301976	0.000529758285472526	0.004887435126146685
2459628.569905666	-0.0038604601978230882	0.004807814981356719
2459628.5706811347	-0.0016316784414129666	0.004859843822688675
2459628.571456603	-0.0005642543867035589	0.004822462883437032
2459628.5722204973	-0.0021293023976100035	0.004854375845237931
2459628.5729959654	-0.010364943007886387	0.004852293922942699
2459628.573771434	-0.010995380407201778	0.0048303245292218916
2459628.574535328	0.00023309178575477965	0.0048154242049745855
2459628.5753107965	-0.002278026560717264	0.004863104397022953
2459628.576086265	-0.012585594355162658	0.004890548217346097
2459628.576850159	-0.002474576087819575	0.004889126751957975
2459628.5776256276	-0.009845314434207353	0.0048807354825001785
2459628.5784010957	-0.011531656881858766	0.004827721254642229
2459628.5791765642	-0.00541858247928706	0.004851529898527379
2459628.5799520323	0.004557204372921561	0.004814339670972897
2459628.580727501	-0.00720710645954547	0.004864769218384453
2459628.581491395	-0.006221997904781246	0.0048661412420881265
2459628.5822668634	0.002654319467973332	0.004866964041535954
2459628.5830307575	-0.0032174625512694363	0.004921686134727985
2459628.583806226	0.0032721472150601463	0.004843913810677824
2459628.584581694	-0.0009105952574136124	0.004814748476323262
2459628.5853571626	0.0007990584742638294	0.004811471489318752
2459628.5861210567	-0.004262038058573514	0.004805150858704281
2459628.586896525	-0.008408155183391608	0.004844334084914391
2459628.5876604193	-0.0048384811263862	0.0048005224916325435
2459628.588435888	0.00011714551351171881	0.004850921414393981
2459628.589211356	-0.010359226099970049	0.005042683753452043
2459628.58997525	-0.0039614798386738625	0.0047939104597088614
2459628.5907507185	-0.006303763489903021	0.004852200451803854
2459628.591526187	-0.0053703685832139705	0.004809237147530735
2459628.592290081	-0.0098663607477791	0.004821274657475126
2459628.593065549	0.012896609404923548	0.004905915778453748
2459628.5938294437	-0.005461409619436628	0.00482547930106459
2459628.5946049117	0.007465675788829113	0.004850347613510557
2459628.595368806	0.0030870803884542317	0.004865610804481059
2459628.5961327	0.0003186904133533989	0.0048497789299843715
2459628.5969081684	-0.002904382875499004	0.004833315676890949
2459628.5976836365	-0.00890441098621134	0.004876603838909116
2459628.598447531	-0.00345517808559634	0.004879178859144693
2459628.599211425	0.0018591413968250606	0.004869308327673968
2459628.599986893	0.00309808653151054	0.004910274527094528
2459628.6007623617	-0.0003263387702556302	0.004879931698470584
2459628.6015378297	0.0011877405692745035	0.004867061437079091
2459628.602301724	-0.0036607614896255708	0.004910683894287848
2459628.6030771923	0.0010622533153527179	0.004850780623439201
2459628.6038410864	-0.0049914855794580765	0.00486620030136878
2459628.6046165545	-0.003363333306445889	0.004903813745685397
2459628.605392023	-0.001581097989706015	0.004918316284848509
2459628.606167491	0.002739692186341887	0.004963847183447669
2459628.606931385	0.0020161095617267687	0.004925586092861894
2459628.6076952796	-0.002690275660115616	0.004894290691508859
2459628.6084707477	-0.01218275408502106	0.00486418458735704
2459628.609234642	0.002114058674732749	0.004918716855222743
2459628.6100101103	-0.003268618771775538	0.004915554395281603
2459628.6107740044	-0.0030477564626170597	0.004688849514347035
2459628.6115494724	0.0015625267120481414	0.004925360282608639
2459628.6123133665	0.0006129016704149005	0.004938734046981679
2459628.6130888346	-0.010957103138710417	0.0049339471647484754
2459628.613852729	0.007774248168090068	0.0049452619922619925
2459628.614628197	0.004499763293915637	0.0049617399817995875
2459628.615403665	-0.0024132295544132716	0.004957775904453982
2459628.6161791338	-0.010770332125037663	0.0049960472851370815
2459628.616943028	-0.007230196475429756	0.004989866996856975
2459628.617718496	-0.002053887710756857	0.005015770183507176
2459628.6185055384	-0.0013232613319585861	0.00501171943159563
2459628.6192694325	-0.0021972512043427483	0.004763092496195329
2459628.6200449006	0.0038707673052556695	0.005040523361326914
2459628.6208203686	-0.00521105572171323	0.005032915310218443
