tt
2458403,68718836
2458444,66824090
2458485,71451593
2458526,56878630
2458567,46446027
2458608,16780285
2458648,87315697
2458689,41632465
2458729,90685127
2458770,29910176
2458810,57645745
2458850,85212655
2458890,96817882
2458931,20051931
2458971,28986341
2459011,60633564
2459051,89164391
2459092,45694920
2459133,15841092
2459174,09459485
2459215,26965477
2459256,56998158
2459298,08897354
2459339,62446937
2459381,29266898
2459422,87758986
2459464,51753952
2459505,96910494
2459547,43816499
2459588,61674998
2459629,80877647
2459670,64453319
2459711,49923625
2459752,01410453
2459792,54658929
2459832,85407755
2459873,18074350
2459913,44197150
2459953,74536073
2459994,10841818
2460034,55593586
2460075,12395205
2460115,81603245
2460156,64702786
2460197,61556608
2460238,72869368
2460279,95674080
2460321,33536604
2460362,77561453
2460404,36680670
2460445,95145914
2460487,66422713
2460529,30443640
2460571,00925004
2460612,58584393
2460654,12825567
2460695,48892004
2460736,73213411
2460777,72947152
2460818,61595313
2460859,20172709
2460899,77977629
