tt
2458400,27899477
2458482,76398359
2458565,40856803
2458648,24892945
2458731,31174776
2458814,60976866
2458898,12371024
2458981,75280624
2459065,27029232
2459148,41148147
2459231,07148895
2459313,34906772
2459395,42678109
2459477,49277662
2459559,72481392
2459642,28092388
2459725,27121350
2459808,69911247
2459892,40482207
2459976,11135995
2460059,57266578
2460142,66880618
2460225,39078483
2460307,79318721
2460389,96290542
2460472,00374515
2460554,03161490
2460636,17808642
2460718,59148962
2460801,40111093
2460884,62524149
