time,flux,flux_err
1354.1348955235444,837.4054563176081,1352.1921728209775
1354.1557287164032,527.4222359192837,1351.3060647022685
1354.176561912056,81.80438817029234,1351.7217331135116
1354.1973951091059,710.8587423689805,1351.3805375938337
1354.218228308484,1376.5780988908016,1350.756390681421
1354.2390615097247,-3111.3718309282444,1350.6390417516404
1354.259894712828,-3081.71288245962,1349.928739129823
1354.2807279173285,-2636.5833727840513,1350.3019478326787
1354.3015611236915,-2175.720226062494,1350.4135490996039
1354.3223943319172,-3208.7733054242394,1349.1143648540647
1354.3432275410742,1419.2973284858913,1352.6369864789078
1354.3640607525595,-1339.4270129443164,1351.0776816285452
1354.3848939654417,86.57971335401804,1349.8294050887182
1354.405727179721,-622.1656824942911,1350.9328434050512
1354.4265603953972,-695.0046299802892,1351.7994653925305
1354.4473936124705,-938.6641711823795,1350.6280452354513
1354.4682268300094,-1968.6145286427204,1350.4239842978861
1354.4890600498766,-4063.098642678509,1350.0552419060202
1354.509893270675,-1650.025002815858,1348.887552219944
1354.5307264933363,-1017.259854433905,1350.6333296687615
1354.5515597159974,-2696.2775665855256,1348.2928342138478
1354.572392940987,1504.5409113907392,1349.844924723206
1354.5932261669077,-859.7199594584381,1349.429344744584
1354.6140593937598,1192.0513527980959,1349.024381977178
1354.6348926215433,-959.9706297352961,1349.867305808127
1354.655725850258,-1141.8081905604226,1349.7350001759723
1354.6765590803698,-3248.048656773861,1348.7167415573697
1354.6973923114128,-1126.3064132026602,1349.7891265419837
1354.7182255429216,2205.725801621705,1350.7219837724854
1354.7390587767586,-3199.1705870833,1350.1073920205772
1354.7598920096643,-330.2005668411878,1349.9856552969636
1354.7807252444327,-524.7538107540084,1349.5985610315247
1354.8015584801324,2757.6622974572197,1351.2367092747377
1354.8223917167634,-550.1086692950574,1349.838612264945
1354.84322495386,778.1291676145496,1351.0235483189845
1354.864058191888,-1417.0425186866842,1350.1270199935318
1354.8848914303817,-1580.7269707114324,1349.7837498756774
1354.9057246702723,58.80365107846508,1351.094242288921
1354.9265579106286,-2325.9265353859914,1349.398135115851
1354.9473911514506,1721.001808520306,1351.9109669101235
1354.9682243932039,384.2524630375266,1351.092687710042
1354.9890576358885,-268.39323727201327,1349.5118953718556
1355.009890878573,-628.6035119120736,1350.6723748871702
1355.030724122189,135.42278169120792,1350.528131514403
1355.0515573662706,-1141.042324438124,1350.4560346956143
1355.0723906117491,71.98279230746785,1349.5319344123966
1355.0932238572277,912.8875750381571,1350.8528767696719
1355.114057103172,1173.6356388334368,1350.7295390148524
1355.1348903495818,-1286.3062886678822,1350.7754889379678
1355.155723596923,-1272.0795065175316,1349.7308584358516
1355.17655684473,201.32394796412711,1351.6138996500792
1355.1973900930025,2631.97808541471,1350.1290278394413
1355.2182233417407,-91.7426453926895,1351.0056127365572
1355.2390565914102,1373.713796794629,1350.0353712872648
1355.259889840614,2437.0438211542833,1351.823118850202
1355.280723091215,837.5291848838895,1349.7935208866004
1355.30155634135,-488.887383706782,1350.6911785851682
1355.3223895928822,1429.4001532657585,1352.1192558625035
1355.3432228444144,308.6900528090908,1351.4544178584597
