100,10,10,11,10,11,11,11,11,10,10,10,10,10,10,11,11,10,10,9,10,9,9,9,9,10,10,10,10,10,10,9,9
200,21,21,21,21,22,21,21,22,22,21,22,22,20,21,21,21,9,9,9,9,9,10,10,9,9,10,9,9,10,9,9,9
300,32,30,31,32,33,30,30,33,32,31,33,31,31,30,31,31,9,10,10,9,9,10,10,9,9,10,9,10,10,10,10,10
400,42,39,40,43,45,40,38,44,45,42,45,38,43,39,40,41,10,10,10,9,9,10,11,9,9,10,9,10,9,10,10,10
500,53,49,50,51,56,49,47,55,56,52,55,48,55,48,50,50,9,10,10,10,9,10,11,9,9,10,9,10,9,10,10,10
600,65,58,61,59,66,59,57,64,67,62,65,59,67,59,60,59,9,10,10,10,9,10,11,9,9,10,9,10,9,10,10,10
700,77,69,73,67,75,70,67,73,78,70,74,69,79,72,70,69,9,10,10,10,9,10,11,10,9,10,9,10,9,10,10,10
800,90,81,86,77,84,81,78,83,88,79,83,80,91,85,82,80,9,10,9,10,9,10,10,10,9,10,10,10,9,9,10,10
900,101,93,98,87,93,92,89,92,97,88,91,90,104,98,93,92,9,10,9,10,10,10,10,10,9,10,10,10,9,9,10,10
1000,113,104,111,97,102,103,100,101,107,97,98,99,116,111,105,105,9,10,9,10,10,10,10,10,9,10,10,10,9,9,9,10
1100,125,115,123,108,111,114,110,109,117,106,105,108,129,124,118,118,9,10,9,10,10,10,10,10,9,10,10,10,9,9,9,9
1200,137,125,134,120,119,124,121,118,126,115,112,117,141,136,131,130,9,10,9,10,10,10,10,10,10,10,11,10,8,9,9,9
1300,149,134,146,130,128,134,131,126,135,126,120,125,154,148,144,143,9,10,9,10,10,10,10,10,10,10,11,10,8,9,9,9
1400,161,144,158,141,138,146,141,135,144,137,128,133,166,159,157,155,9,10,9,10,10,10,10,10,10,10,11,11,8,9,9,9
