time,flux,flux_err
2460068.7400764353,1.0061768997477198,0.004413592811776393
2460068.741465303,1.0006782577655942,0.004409557251518986
2460068.7428541705,1.0014951317077359,0.004414165371368829
2460068.7442430384,0.9998530374737081,0.004407596326724738
2460068.745631906,1.003733422396675,0.004410166000883912
2460068.747020774,0.9907981827926713,0.004400736628797163
2460068.748409642,0.997594181379,0.0044019159346305875
2460068.7497985093,1.0025682719724167,0.00441141948907386
2460068.751187377,1.0002166712393536,0.004411666808109473
2460068.752576245,0.996504615498023,0.004409683047702327
2460068.753965113,0.9982689670631004,0.004406809566412473
2460068.7553539807,0.9977038190292368,0.004413785111674493
2460068.7567428485,0.9989135723465268,0.00440986352916919
2460068.758131716,0.999772979286964,0.004411612056055153
2460068.759520584,1.0053166247869094,0.004413409125311228
2460068.7609094516,0.9968389368833676,0.004408370333814595
2460068.7622983195,0.9963891687883644,0.004408738641536097
2460068.7636871873,0.9949775005780682,0.004410846862710626
2460068.765076055,1.0084852330037104,0.0044206768595850855
2460068.766464923,1.0011595416772305,0.0044096276279400265
2460068.767853791,1.001628072366458,0.004419135789568358
2460068.7692426587,0.9986275930188994,0.004409748950479905
2460068.7706315266,0.9998820827708171,0.004416314055646917
2460068.7720203944,1.0009241078436524,0.004416139316468676
2460068.7734092623,0.9974909537253666,0.0044022868464132095
2460068.77479813,1.002093064203394,0.00441253796671035
2460068.776186998,0.9965861426423221,0.004409913406955261
2460068.777575866,0.9926224277635114,0.004401620807703641
2460068.7789647337,0.9926911349146038,0.004404577084782955
2460068.780353602,0.9958299633555184,0.004408725955084486
2460068.78174247,0.9965243128834188,0.004409843965325391
2460068.7831313377,0.9949213463369907,0.004411127967770003
2460068.7845202056,0.9972045070021534,0.004403576190521658
2460068.7859090734,1.0005910551034691,0.004416956390723213
2460068.7872979413,0.9968456139631627,0.004408007100673738
2460068.788686809,1.0006857360949646,0.004412559533678089
2460068.790075677,0.9927713266429439,0.00440367948494609
2460068.7914645453,0.9983868842922833,0.004413163141691573
2460068.792853413,0.9987386996266912,0.004413278855484423
2460068.794242281,1.004175177995924,0.004420259208243897
