time,flux
2460001.9,1.0
2460001.9057870368,1.0
2460001.911574074,1.0
2460001.917361111,1.0
2460001.923148148,1.0
2460001.9289351846,1.0
2460001.9347222215,1.0
2460001.9405092592,1.0
2460001.946296296,1.0
2460001.9520833334,1.0
2460001.9578703702,1.0
2460001.963657407,1.0
2460001.9694444444,1.0
2460001.975231481,1.0
2460001.9810185186,1.0
2460001.9868055554,1.0
2460001.9925925927,1.0
2460001.998379629,1.0
2460002.0041666664,1.0
2460002.009953704,1.0
2460002.0157407406,1.0
2460002.0215277774,1.0
2460002.0273148147,1.0
2460002.0331018516,1.0
2460002.038888889,1.0
2460002.0446759257,1.0
2460002.050462963,1.0
2460002.05625,1.0
2460002.0620370368,1.0
2460002.067824074,1.0
2460002.073611111,1.0
2460002.079398148,1.0
2460002.0851851846,1.0
2460002.0909722215,1.0
2460002.0967592592,1.0
2460002.102546296,1.0
2460002.1083333334,1.0
2460002.1141203702,1.0
2460002.119907407,1.0
2460002.1256944444,1.0
2460002.131481481,1.0
2460002.1372685186,1.0
2460002.1430555554,1.0
2460002.1488425927,1.0
2460002.154629629,1.0
2460002.1604166664,1.0
2460002.166203704,1.0
2460002.1719907406,1.0
2460002.1777777774,1.0
2460002.1835648147,1.0
2460002.1893518516,1.0
2460002.195138889,1.0
2460002.2009259257,1.0
2460002.206712963,1.0
2460002.2125,1.0
2460002.2182870368,1.0
2460002.224074074,1.0
2460002.229861111,1.0
2460002.235648148,1.0
2460002.2414351846,1.0
2460002.2472222215,1.0
2460002.2530092592,1.0
2460002.258796296,1.0
2460002.2645833334,1.0
2460002.2703703702,1.0
2460002.276157407,1.0
2460002.2819444444,1.0
2460002.287731481,1.0
2460002.2935185186,1.0
2460002.2993055554,1.0
2460002.3050925927,1.0
2460002.310879629,1.0
2460002.3166666664,1.0
2460002.322453704,1.0
2460002.3282407406,1.0
2460002.3340277774,1.0
2460002.3398148147,1.0
2460002.3456018516,1.0
2460002.351388889,1.0
2460002.3571759257,1.0
2460002.362962963,1.0
2460002.36875,1.0
2460002.3745370368,1.0
2460002.380324074,1.0
2460002.386111111,1.0
2460002.391898148,1.0
2460002.3976851846,1.0
2460002.4034722215,1.0
2460002.4092592592,1.0
2460002.415046296,1.0
2460002.4208333334,1.0
2460002.4266203702,1.0
2460002.432407407,1.0
2460002.4381944444,1.0
2460002.443981481,1.0
2460002.4497685186,1.0
2460002.4555555554,1.0
2460002.4613425927,1.0
2460002.467129629,1.0
2460002.4729166664,1.0
2460002.478703704,1.0
2460002.4844907406,1.0
2460002.4902777774,1.0
2460002.4960648147,1.0
2460002.5018518516,1.0
2460002.507638889,1.0
2460002.5134259257,1.0
2460002.519212963,1.0
2460002.525,1.0
2460002.5307870368,1.0
2460002.536574074,1.0
2460002.542361111,1.0
2460002.548148148,1.0
2460002.5539351846,1.0
2460002.5597222215,1.0
2460002.5655092592,1.0
2460002.571296296,1.0
2460002.5770833334,1.0
2460002.5828703702,1.0
2460002.588657407,1.0
2460002.5944444444,1.0
2460002.600231481,1.0
2460002.6060185186,1.0
2460002.6118055554,1.0
2460002.6175925927,0.9998856719591076
2460002.623379629,0.9998498658683478
2460002.6291666664,0.9998303918076711
2460002.634953704,0.9998168654121609
2460002.6407407406,0.9998067188280441
2460002.6465277774,0.9997988279880307
2460002.6523148147,0.9997925823198854
2460002.6581018516,0.9997876089302189
2460002.663888889,0.9997836633955165
2460002.6696759257,0.9997805785771845
2460002.675462963,0.9997782378288195
2460002.68125,0.9997765599080594
2460002.6870370368,0.9997754900999887
2460002.692824074,0.9997749949595353
2460002.698611111,0.99977505937182
2460002.704398148,0.999774807847391
2460002.7101851846,0.9997373010707833
2460002.7159722215,0.9997277335488586
2460002.7217592592,0.9997253847988328
2460002.727546296,0.9997249530470277
2460002.7333333334,0.9997260906868731
2460002.7391203702,0.9997287649997506
2460002.744907407,0.9997331249791456
2460002.7506944444,0.9997395108983891
2460002.756481481,0.9997485666369494
2460002.7622685186,0.9997615834629885
2460002.7680555554,0.9997818144824961
2460002.7738425927,0.9998492120630872
2460002.779629629,0.9999235350790986
2460002.7854166664,0.9999224841325454
2460002.791203704,0.9999215278792598
2460002.7969907406,0.999920657726692
2460002.8027777774,0.9999198665108722
2460002.8085648147,0.999919148208148
2460002.8143518516,0.9999184977195485
2460002.820138889,0.9999179107072396
2460002.8259259257,0.9999173834694545
2460002.831712963,0.9999169128424666
2460002.8375,0.9999164961241925
2460002.8432870368,0.9999161310131582
2460002.849074074,0.9999158155602912
2460002.854861111,0.9999155481304436
2460002.860648148,0.9999153273715687
2460002.8664351846,0.9999151521906974
2460002.8722222215,0.9999150217349236
2460002.8780092592,0.999914935377319
2460002.883796296,0.9999148927066918
2460002.8895833334,0.9999148935209413
2460002.8953703702,0.9999149378239156
2460002.901157407,0.9999150258254556
2460002.9069444444,0.999915157944734
2460002.912731481,0.9999153348169043
2460002.9185185186,0.9999155573036163
2460002.9243055554,0.9999158265071357
2460002.9300925927,0.9999161437896626
2460002.935879629,0.9999165107974748
2460002.9416666664,0.9999169294921926
2460002.947453704,0.9999174021893091
2460002.9532407406,0.9999179316069258
2460002.9590277774,0.9999185209275082
2460002.9648148147,0.9999191738748453
2460002.9706018516,0.9999198948126234
2460002.976388889,0.9999206888714692
2460002.9821759257,0.9999215621133701
2460002.987962963,0.9999225217499222
2460002.99375,0.9999235764342476
2460002.9995370368,0.9999247366623895
2460003.005324074,0.9999260153356535
2460003.011111111,0.99992742857193
2460003.016898148,0.9999289969171137
2460003.0226851846,0.9999307472238566
2460003.0284722215,0.9999327157199703
2460003.0342592592,0.9999349533346149
2460003.040046296,0.9999375357396387
2460003.0458333334,0.9999405845303488
2460003.0516203702,0.9999443199153297
2460003.057407407,0.9999492335239597
2460003.0631944444,0.9999618252643759
2460003.068981481,0.999999686235723
2460003.0747685186,1.0
2460003.0805555554,1.0
2460003.0863425927,1.0
2460003.092129629,1.0
2460003.0979166664,1.0
2460003.103703704,1.0
2460003.1094907406,1.0
2460003.1152777774,1.0
2460003.1210648147,1.0
2460003.1268518516,1.0
2460003.132638889,1.0
2460003.1384259257,1.0
2460003.144212963,1.0
2460003.15,1.0
2460003.1557870368,1.0
2460003.161574074,1.0
2460003.167361111,1.0
2460003.173148148,1.0
2460003.1789351846,1.0
2460003.1847222215,1.0
2460003.1905092592,1.0
2460003.196296296,1.0
2460003.2020833334,1.0
2460003.2078703702,1.0
2460003.213657407,1.0
2460003.2194444444,1.0
2460003.225231481,1.0
2460003.2310185186,1.0
2460003.2368055554,1.0
2460003.2425925927,1.0
2460003.248379629,1.0
2460003.2541666664,1.0
2460003.259953704,1.0
2460003.2657407406,1.0
2460003.2715277774,1.0
2460003.2773148147,1.0
2460003.2831018516,1.0
2460003.288888889,1.0
2460003.2946759257,1.0
2460003.300462963,1.0
2460003.30625,1.0
2460003.3120370368,1.0
2460003.317824074,1.0
2460003.323611111,1.0
2460003.329398148,1.0
2460003.3351851846,1.0
2460003.3409722215,1.0
2460003.3467592592,1.0
2460003.352546296,1.0
2460003.3583333334,1.0
2460003.3641203702,1.0
2460003.369907407,1.0
2460003.3756944444,1.0
2460003.381481481,1.0
2460003.3872685186,1.0
2460003.3930555554,1.0
2460003.3988425927,1.0
2460003.404629629,1.0
2460003.4104166664,1.0
2460003.416203704,1.0
2460003.4219907406,1.0
2460003.4277777774,1.0
2460003.4335648147,1.0
2460003.4393518516,1.0
2460003.445138889,1.0
2460003.4509259257,1.0
2460003.456712963,1.0
2460003.4625,1.0
2460003.4682870368,1.0
2460003.474074074,1.0
2460003.479861111,1.0
2460003.485648148,1.0
2460003.4914351846,1.0
2460003.4972222215,1.0
2460003.5030092592,1.0
2460003.508796296,1.0
2460003.5145833334,1.0
2460003.5203703702,1.0
2460003.526157407,1.0
2460003.5319444444,1.0
2460003.537731481,1.0
2460003.5435185186,1.0
2460003.5493055554,1.0
2460003.5550925927,1.0
2460003.560879629,1.0
2460003.5666666664,1.0
2460003.572453704,1.0
2460003.5782407406,1.0
2460003.5840277774,1.0
2460003.5898148147,1.0
2460003.5956018516,1.0
2460003.601388889,1.0
2460003.6071759257,1.0
2460003.612962963,1.0
2460003.61875,1.0
2460003.6245370368,1.0
2460003.630324074,1.0
2460003.636111111,1.0
2460003.641898148,1.0
2460003.6476851846,1.0
2460003.6534722215,1.0
2460003.6592592592,1.0
2460003.665046296,1.0
2460003.6708333334,1.0
2460003.6766203702,1.0
2460003.682407407,1.0
2460003.6881944444,1.0
2460003.693981481,1.0
2460003.6997685186,1.0
2460003.7055555554,1.0
2460003.7113425927,1.0
2460003.717129629,1.0
2460003.7229166664,1.0
2460003.728703704,1.0
2460003.7344907406,1.0
2460003.7402777774,1.0
2460003.7460648147,1.0
2460003.7518518516,1.0
2460003.757638889,1.0
2460003.7634259257,1.0
2460003.769212963,1.0
2460003.775,1.0
2460003.7807870368,1.0
2460003.786574074,1.0
2460003.792361111,1.0
2460003.798148148,1.0
2460003.8039351846,1.0
2460003.8097222215,1.0
2460003.8155092592,1.0
2460003.821296296,1.0
2460003.8270833334,1.0
2460003.8328703702,1.0
2460003.838657407,1.0
2460003.8444444444,1.0
2460003.850231481,1.0
2460003.8560185186,1.0
