tt
2458403,70389356
2458444,71188210
2458485,78547813
2458526,66434800
2458567,58691911
2458608,31041601
2458649,04019303
2458689,59784419
2458730,10892603
2458770,50995385
2458810,80277673
2458851,08143224
2458891,20565609
2458931,43368209
2458971,52002388
2459011,82161525
2459052,09032959
2459092,62846752
2459133,30643883
2459174,20847946
2459215,36951507
2459256,64024795
2459298,16676511
2459339,68788518
2459381,38760902
2459422,97853805
2459464,67076672
2459506,14646541
2459547,68185351
2459588,89437517
2459630,15634660
2459671,02577156
2459711,93988147
2459752,48161157
2459793,05072979
2459833,37778074
2459873,71612743
2459913,98936466
2459954,28365690
2459994,64756736
2460035,06795300
2460075,62075633
2460116,26922025
2460157,06596110
2460197,97734243
2460239,03875086
2460280,19969817
2460321,51522195
2460362,88283048
2460404,41085939
2460445,92405513
2460487,59162073
2460529,17415213
2460570,87612770
2460612,43084890
2460654,03539781
2460695,43818103
2460736,81165112
2460777,92695628
2460818,98061876
2460859,72325625
2460900,45317809
