tt
2458400,32333356
2458482,83046175
2458565,49816926
2458648,36428519
2458731,45591683
2458814,78553966
2458898,33556723
2458982,01144801
2459065,59379101
2459148,81554268
2459231,55697982
2459313,90457595
2459396,03634499
2459478,13953912
2459560,39368047
2459642,96300588
2459725,96794853
2459809,41969112
2459893,15774794
2459976,90399223
2460060,41668344
2460143,58039520
2460226,38422030
2460308,87670429
2460391,13653236
2460473,25788692
2460555,34439175
2460637,50957648
2460719,87917600
2460802,57556792
2460885,65902445
